,created_at,id,id_str,text,truncated,entities,metadata,source,likes,retweets,user
0,2022-11-16 23:59:27+00:00,1593031020680712192,1593031020680712192,"Tumelo Madlala admits he cannot say exactly who shot #SenzoMeyiwatrial 

#SABCNEWS #SenzoMeyiwatrial https://t.co/FmgSjl6HOQ",False,"{'hashtags': [{'text': 'SenzoMeyiwatrial', 'indices': [70, 87]}, {'text': 'SABCNEWS', 'indices': [90, 99]}, {'text': 'SenzoMeyiwatrial', 'indices': [100, 117]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KingKAzania', 'name': 'Sipho King K Kekana', 'id': 358618731, 'id_str': '358618731', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,0,176,NcHword
1,2022-11-16 23:58:58+00:00,1593030902795632640,1593030902795632640,tweet.full_text,False,"{'hashtags': [{'text': 'Mcg', 'indices': [116, 120]}, {'text': 'longwetwala', 'indices': [121, 133]}, {'text': 'ronaldointerview', 'indices': [135, 152]}, {'text': 'Warzone2', 'indices': [153, 162]}, {'text': 'senzomeyiwa', 'indices': [163, 175]}, {'text': 'eNCA', 'indices': [176, 181]}, {'text': 'gumtree', 'indices': [182, 190]}, {'text': 'homedecor', 'indices': [191, 201]}, {'text': 'RichesSA', 'indices': [202, 211]}, {'text': 'SenzoMeyiwatrial', 'indices': [212, 229]}, {'text': 'TwitterTakeover', 'indices': [230, 246]}, {'text': 'wednesdaynetflix', 'indices': [247, 264]}, {'text': 'newsroom', 'indices': [265, 274]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1593030889537212416, 'id_str': '1593030889537212416', 'indices': [275, 298], 'media_url': 'http://pbs.twimg.com/media/FhuVJ18XEAA1mhq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FhuVJ18XEAA1mhq.jpg', 'url': 'https://t.co/kTUIlZWIT5', 'display_url': 'pic.twitter.com/kTUIlZWIT5', 'expanded_url': 'https://twitter.com/CoatingsEpoxy/status/1593030902795632640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,1,0,CoatingsEpoxy
2,2022-11-16 23:54:25+00:00,1593029756106133505,1593029756106133505,But did Tumelo not testify in Sep that the shot went off when he hit the person with the fist? In today’s testimony the shot went off when he was in the bedroom… kanjani futhi manje Tumelo ??😵‍💫🙇🏽‍♀️ #SenzoMeyiwatrial https://t.co/RrV8iJgvba,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Iynsuku_zeviki', 'name': 'Nandi Zwane', 'id': 961949610280353792, 'id_str': '961949610280353792', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for iPhone,0,5,KhethiweNtshan
3,2022-11-16 23:51:00+00:00,1593028895359774720,1593028895359774720,Pitbulls must be banned #SenzoMeyiwatrial #CristianoRonaldo https://t.co/dFX96gNToo,False,"{'hashtags': [{'text': 'SenzoMeyiwatrial', 'indices': [38, 55]}, {'text': 'CristianoRonaldo', 'indices': [56, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AmasiGuy', 'name': 'Amasi Guy', 'id': 1524090860555714563, 'id_str': '1524090860555714563', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1592530405734993923, 'id_str': '1592530405734993923', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1592530405734993923/pu/img/IwIAoPrCJxwr6yym.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1592530405734993923/pu/img/IwIAoPrCJxwr6yym.jpg', 'url': 'https://t.co/dFX96gNToo', 'display_url': 'pic.twitter.com/dFX96gNToo', 'expanded_url': 'https://twitter.com/AmasiGuy/status/1592530494054449154/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 332, 'h': 426, 'resize': 'fit'}, 'medium': {'w': 332, 'h': 426, 'resize': 'fit'}, 'large': {'w': 332, 'h': 426, 'resize': 'fit'}}, 'source_status_id': 1592530494054449154, 'source_status_id_str': '1592530494054449154', 'source_user_id': 1524090860555714563, 'source_user_id_str': '1524090860555714563'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for iPhone,0,66,RappaFella_
4,2022-11-16 23:47:11+00:00,1593027935212302336,1593027935212302336,Isnt it the same hat? #SenzoMeyiwatrial https://t.co/GCCgVhOHYU,False,"{'hashtags': [{'text': 'SenzoMeyiwatrial', 'indices': [43, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Tshepo__Molotsi', 'name': 'Tshep⭕', 'id': 478480889, 'id_str': '478480889', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1592868411117281281, 'id_str': '1592868411117281281', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/FhsBYWqWIAEebdr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FhsBYWqWIAEebdr.jpg', 'url': 'https://t.co/GCCgVhOHYU', 'display_url': 'pic.twitter.com/GCCgVhOHYU', 'expanded_url': 'https://twitter.com/Tshepo__Molotsi/status/1592868414452039680/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 678, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 722, 'resize': 'fit'}, 'large': {'w': 720, 'h': 722, 'resize': 'fit'}}, 'source_status_id': 1592868414452039680, 'source_status_id_str': '1592868414452039680', 'source_user_id': 478480889, 'source_user_id_str': '478480889'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for iPhone,0,408,blickyblivk
5,2022-11-16 23:45:54+00:00,1593027613391736832,1593027613391736832,"Chicco twala ""I have been supporting Senzo Meyiwa's mother all the time""

""I think it's Mzilikazi wa Afrika who is the architect of @AdvoBarryRoux spreading lies about me"" Twala added
#SenzoMeyiwatrial https://t.co/Ohq7EonKk2",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'newslivesa', 'name': 'News Live SA', 'id': 1411604915689082882, 'id_str': '1411604915689082882', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,0,55,Keks_Don
6,2022-11-16 23:45:09+00:00,1593027425637539841,1593027425637539841,tweet.full_text,False,"{'hashtags': [{'text': 'SenzoMeyiwatrial', 'indices': [201, 218]}, {'text': 'BlackFriday', 'indices': [219, 231]}, {'text': 'MakroBlackFridayLiquor', 'indices': [232, 255]}, {'text': 'Pitbulls', 'indices': [256, 265]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1593027421095317504, 'id_str': '1593027421095317504', 'indices': [266, 289], 'media_url': 'http://pbs.twimg.com/media/FhuR_8_X0AAnjfs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FhuR_8_X0AAnjfs.jpg', 'url': 'https://t.co/OPtJAEJkqF', 'display_url': 'pic.twitter.com/OPtJAEJkqF', 'expanded_url': 'https://twitter.com/TLT161158201/status/1593027425637539841/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,4,0,TLT161158201
7,2022-11-16 23:42:36+00:00,1593026780470075393,1593026780470075393,"A woman gets raped:

""We'll wait for the courts""

A few months later:

""This Judge is bought, we will never get justice for Senzo""

#SenzoMeyiwatrial 

Hahahahaha.",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nampree', 'name': 'Namhla ♥️', 'id': 449041108, 'id_str': '449041108', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,0,21,Lulama_Annie
8,2022-11-16 23:41:33+00:00,1593026519685033985,1593026519685033985,"Tumelo Madlala admits he cannot say exactly who shot #SenzoMeyiwatrial 

#SABCNEWS #SenzoMeyiwatrial https://t.co/FmgSjl6HOQ",False,"{'hashtags': [{'text': 'SenzoMeyiwatrial', 'indices': [70, 87]}, {'text': 'SABCNEWS', 'indices': [90, 99]}, {'text': 'SenzoMeyiwatrial', 'indices': [100, 117]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KingKAzania', 'name': 'Sipho King K Kekana', 'id': 358618731, 'id_str': '358618731', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,0,176,Donald7202
9,2022-11-16 23:41:17+00:00,1593026448914550784,1593026448914550784,"#SenzoMeyiwaTrial | #sabcnews 📺

""It clearly shows that there was no intruder who entered the house caring a gun. I will prove it""

""Amanga lawo"" 

- Tumelo Madlala as he is continuing to be cross-examined by Adv Mshololo in the Pretoria High Court😀

MacG Shona Pitbulls Thobane https://t.co/fFiXZCiFfn",False,"{'hashtags': [{'text': 'SenzoMeyiwaTrial', 'indices': [19, 36]}, {'text': 'sabcnews', 'indices': [39, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ThisIsColbert', 'name': 'YaseBlock B 🇸🇿', 'id': 433377362, 'id_str': '433377362', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}",Twitter for Android,0,172,alltimehigh01_
